Tipo,Nombre,Tel‚fono,Direcci¢n,Barrio,Latitud,Longitud,Nombre anterior,Unidad Judicial,Tel‚fono Unidad Judicial
Comisar¡a,Comisar¡a Nø 33,(0351) 4348651,Obispo Castellano 2670,Jos‚ Ignacio D¡az 1ø Secc.,-31.44209862,-64.14269522,Comisar¡a 16ø BIS,Unidad Judicial 8,-
Comisar¡a,Comisar¡a Nø 34,(0351) 4348867,Watt 5420,Ituzaing¢,-31.46439345,-64.09068837,Comisar¡a 21ø BIS,-,-
Comisar¡a,Comisar¡a Nø 35,(0351) 156816395,Calle P£blica s/n,Zepa,-31.39001464,-64.10407347,Comisar¡a 6ø BIS,-,-
Comisar¡a,Comisar¡a Nø 36,(0351)  4796535,Jos‚ de Villegas 2100,Patricios,-31.36900997,-64.14380414,Comisar¡a 8ø BIS,-,(0351) 4335142 / 3
Comisar¡a,Comisar¡a Nø 37,(0351) 4837911,Pedro Na¢n 1200,Juan Pablo II,-31.36356388,-64.15553398,Comisar¡a 13ø BIS Sgto. µvila,-,-
Comisar¡a,Comisar¡a Nø 38,(0351) 4995854,Av. Juan B. Justo Km.9653,Gui¤az£,-31.31079276,-64.17638553,Comisar¡a 17ø BIS,-,-
Comisar¡a,Comisar¡a Nø 39,(03543) 449404,Andr‚s Pi¤eiro 7785,Quintas de  Argello,-31.34371036,-64.26834813,Comisar¡a 14ø BIS,-,(03543) 446290
Comisar¡a,Comisar¡a Nø 40,(0351) 4338129,Manuel Carde¤osa 2800,La France,-31.36955648,-64.21163276,Comisar¡a 15ø BIS,-,(0351) 4338111
Comisar¡a,Comisar¡a Nø 42,(0351) 4343112,Calle P£blica s/n  Mz.34,Villa Angelleli,-31.5048571,-64.19429965,Comisar¡a Sgto. J. L. Morano,-,-
Comisar¡a,Comisar¡a Nø 43,(0351) 4348748,Calle P£blica s/n  Mza. 52  L 1,Ciudad Evita,-31.44969357,-64.11039724,Comisar¡a Of. Atye. Nu¤ez,-,-
Comisar¡a,Comisar¡a Nø 45,(0351)  4453533,Calle P£blica s/n,Ciudad de los Cuartetos,,,Subcomisar¡a Cabo 1ø Lopez,-,-
Comisar¡a,Comisar¡a Nø 46,(03543) 448324,Juan Gaudino 6834,Argello Lourdes,-31.33068936,-64.25636854,Comisar¡a Lourdes,-,-
Comisar¡a,Comisar¡a Nø 47,(03543) 404600,Calle Nø 1 1254,Sol Naciente,-31.32067927,-64.24303482,Comisar¡a 36ø Sgto. Juan Pablo Dragonetti,-,-
Subcomisar¡a,Subcomisar¡a Nø 1,(0351) 433797,Boyero 453,Chateau Carreras,-31.38622114,-64.25898341,Subcomisar¡a Chateu Carreras,-,-
Subcomisar¡a,Subcomisar¡a Nø 2,(0351) 4343335,Amsterdam s/n,Ciudad Pque. Las Rosas,-31.44759147,-64.24036974,Subcomisar¡a Pque. Las Rosas,-,-
Subcomisar¡a,Subcomisar¡a Nø 3,(0351) 4343626 / 27,Congreso esq. Cotolengo Don Orione,Ampliaci¢n Cabildo,-31.48254378,-64.2274707,Subcomisar¡a Ampl. Cabildo,-,-
Subcomisar¡a,Subcomisar¡a Nø 4,(0351) 4348844,Cipriano Perello s/n entre calles 7 y 8,Ampl. Ferreyra,-31.47000488,-64.1176912,Subcomisar¡a Cdad. Ampl. Ferreyra,-,-
Subcomisar¡a,Subcomisar¡a Nø 5,(0351) 4345240,Escol stico Magan s/n Mz.43 L 2,Ampl. Gral. Savio,-31.37154264,-64.15476882,Subcomisar¡a Gral. Savio,-,-
Subcomisar¡a,Subcomisar¡a Nø 6,(0351) 4348767,Calle P£blica s/n  Mz. 52 Lote 1,Ciudad de Mis Sue¤os,-31.47783275,-64.08556826,Subcomisar¡a Cabo Gonzalez - Cdad. de mis Sue¤os,-,-
Unidad Judicial,Unidad Judicial de Delitos Econ¢micos,(0351) 4332640 - 4287189 - 4481016,Av. Colon 1250 (Jefatura de Polic¡a - 1ø Piso),Alberdi,-31.40860628,-64.1997267,-,-,-
Unidad Judicial,Unidad Judicial Homicidios,(0351) 4332659 - 4287188,Av. Colon 1250 (Jefatura de Polic¡a - 1ø Piso),Alberdi,-31.40860628,-64.1997267,-,-,-
Unidad Judicial,Unidad Judicial Robos y Hurtos,(0351) 4332693 - 4287187,Av. Colon 1250 (Jefatura de Polic¡a - 1ø Piso),Alberdi,-31.40860628,-64.1997267,-,-,-
Unidad Judicial,Unidad Judicial Sustracci¢n de Automotores,(0351) 4332657 - 4287185,Av. Colon 1250 (Jefatura de Polic¡a - 1ø Piso),Alberdi,-31.40860628,-64.1997267,-,-,-
Unidad Judicial,Unidad Judicial Accidente Vial,(0351) 4331639 - 4331468,Pje. F‚lix Aguilar 1290,Paso de los Andes,-31.41879578,-64.2041045,-,-,-
Unidad Judicial,Unidad Judicial Delitos contra la Violencia Familiar,(0351) 4298006,Duarte Quir¢s 650,Alto Alberdi,-31.41671447,-64.194036,-,-,-
Unidad Judicial,Unidad Judicial Delitos contra la Integridad Sexual,(0351) 4331484 / 85,Rondeau 258,Nueva C¢rdoba,-31.42322301,-64.18333959,-,-,-
Unidad Judicial,Unidad Judicial Lucha contra el Narcotr fico,(0351) 4334289,Taninga 2841,Residencial San Carlos,-31.44444632,-64.166083,-,-,-
